"","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB"
"299","1TT06","25",2,"2006-04-21 16:17","1TT06 25 2 60BON 1",99.54225,163.18402,2006,4,57.86967,-169.93716,111,128.68907,74,"1TT06_57.86967_-169.93716_2006-04-21 16:17_333",21,442,"4/21/2006",242629
"300","1TT06","73",2,"2006-05-02 12:06","1TT06 73 2 60BON 1",396.75968,226.71982,2006,5,59.613,-177.20033,122,224.94725,184,"1TT06_59.613_-177.20033_2006-05-02 12:06_333",51,442,"5/2/2006",242629
"322","2DY10","18",3,"2010-05-08 4:13","2DY10 18 3 60BON 2",0,0,2010,5,54.32683,-165.41066,128,320.009,149,"2DY10_54.32683_-165.41066_2010-05-08 4:13_500",0,370,"5/8/2010",227957
"323","2DY10","21",3,"2010-05-08 9:49","2DY10 21 3 60BON 2",0,0,2010,5,54.46183,-165.01616,128,130.31253,53,"2DY10_54.46183_-165.01616_2010-05-08 9:49_500",0,370,"5/8/2010",227957
"325","2MF03","12",2,"2003-03-06 13:51","2MF03 12 2 60BON 1",0,0,2003,3,56.16767,-166.10201,65,141.21616,106,"2MF03_56.16767_-166.10201_2003-03-06 13:51_333",0,125,"3/6/2003",255366
"329","2DY09","14",2,"2009-04-27 23:01","2DY09 14 2 60BON 2",0,0,2009,4,55.33967,-168.25383,117,833.15839,1456,"2DY09_55.33967_-168.25383_2009-04-27 23:01_333",0,311,"4/27/2009",225280
"332","2DY09","21",2,"2009-04-30 10:50","2DY09 21 2 60BON 2",0,0,2009,4,56.774,-164.32401,120,152.08542,75,"2DY09_56.774_-164.32401_2009-04-30 10:50_333",0,311,"4/30/2009",225280
"336","2DY10","71",3,"2010-05-14 16:43","2DY10 71 3 60BON 2",4.51409,7.40014,2010,5,56.96983,-169.91051,134,135.13251,68,"2DY10_56.96983_-169.91051_2010-05-14 16:43_500",1,370,"5/14/2010",227957
"337","2DY10","10",2,"2010-05-07 8:06","2DY10 10 2 60BON 2",0,0,2010,5,54.471,-166.03366,127,605.99139,536,"2DY10_54.471_-166.03366_2010-05-07 8:06_500",0,370,"5/7/2010",227957
"338","2DY10","82",3,"2010-05-15 16:06","2DY10 82 3 60BON 2",0,0,2010,5,56.17484,-170.58833,135,217.61765,134,"2DY10_56.17484_-170.58833_2010-05-15 16:06_500",0,370,"5/15/2010",227957
"341","2DY10","90",2,"2010-05-16 10:36","2DY10 90 2 60BON 2",0,0,2010,5,55.968,-169.424,136,578.59839,1636,"2DY10_55.968_-169.424_2010-05-16 10:36_500",0,370,"5/16/2010",227957
"345","3MF06","27",2,"2006-05-12 16:10","3MF06 27 2 60BON 1",0,0,2006,5,55.00983,-167.03967,132,198.20656,159,"3MF06_55.00983_-167.03967_2006-05-12 16:10_505",0,442,"5/12/2006",242629
"346","3TT05","88",2,"2005-05-24 0:01","3TT05 88 2 60BON 1",1347.25103,2172.98554,2005,5,59.25733,-170.37616,144,42.79826,68,"3TT05_59.25733_-170.37616_2005-05-24 0:01_333",93,283,"5/24/2005",249168
"348","3DY09","27",2,"2009-05-12 4:54","3DY09 27 2 60BON 1",110.80969,257.69695,2009,5,57.24,-161.677,132,104.77423,52,"3DY09_57.24_-161.677_2009-05-12 4:54_505",27,311,"5/12/2009",225280
"350","5MF00","19",3,"2000-05-07 9:14","5MF00 19 3 60BON 1",0,0,2000,5,57.0485,-170.13817,127,96.04493,64,"5MF00_57.0485_-170.13817_2000-05-07 9:14_333",0,54,"5/7/2000",248451
"351","6MF97","58",3,"1997-05-10 22:18","6MF97 58 3 60BON 1",0,0,1997,5,54.58583,-166.12933,130,401.96402,411,"6MF97_54.58583_-166.12933_1997-05-10 22:18_333",0,132,"5/10/1997",247943
"352","6MF97","63",2,"1997-05-11 8:19","6MF97 63 2 60BON 1",0,0,1997,5,54.422,-165.15134,131,188.20075,141,"6MF97_54.422_-165.15134_1997-05-11 8:19_333",0,132,"5/11/1997",247943
"353","6MF97","71",2,"1997-05-12 7:47","6MF97 71 2 60BON 1",0,0,1997,5,55.4345,-168.06334,132,274.00748,200,"6MF97_55.4345_-168.06334_1997-05-12 7:47_333",0,132,"5/12/1997",247943
"354","6MF97","76",3,"1997-05-12 20:51","6MF97 76 3 60BON 1",0,0,1997,5,55.47283,-169.32333,132,419.41351,1496,"6MF97_55.47283_-169.32333_1997-05-12 20:51_333",0,132,"5/12/1997",247943
"355","7MF95","102",1,"1995-05-13 15:49","7MF95 102 1 60BON 1",0,0,1995,5,54.9255,-165.47231,133,184.46832,125,"7MF95_54.9255_-165.47231_1995-05-13 15:49_333",0,275,"5/13/1995",257129
"360","7MF95","40",1,"1995-05-07 17:44","7MF95 40 1 60BON 1",29.24379,45.69343,1995,5,56.96117,-164.4492,127,87.53994,71,"7MF95_56.96117_-164.4492_1995-05-07 17:44_333",4,275,"5/7/1995",257129
"361","7MF95","57",1,"1995-05-09 16:14","7MF95 57 1 60BON 1",0,0,1995,5,55.71133,-165.72701,129,141.94722,116,"7MF95_55.71133_-165.72701_1995-05-09 16:14_333",0,275,"5/9/1995",257129
"362","7MF95","61",1,"1995-05-10 4:02","7MF95 61 1 60BON 1",0,0,1995,5,56.40467,-164.4055,130,107.32047,84,"7MF95_56.40467_-164.4055_1995-05-10 4:02_333",0,275,"5/10/1995",257129
"363","7MF95","63",1,"1995-05-10 7:10","7MF95 63 1 60BON 1",7.54953,11.79614,1995,5,56.74367,-164.23669,130,84.7735,74,"7MF95_56.74367_-164.23669_1995-05-10 7:10_333",1,275,"5/10/1995",257129
"365","7MF95","81",1,"1995-05-11 19:47","7MF95 81 1 60BON 1",0,0,1995,5,55.1305,-166.6588,131,185.48735,137,"7MF95_55.1305_-166.6588_1995-05-11 19:47_333",0,275,"5/11/1995",257129
