"","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date"
"1338","3MF06","50",2,"5/15/2006 4:21:00","3MF06 50 2 60BON 1",0,0,2006,5,55.07333,-164.11116,135,41.86988,35,"3MF06_55.07333_-164.11116_5/15/2006 4:21:00_505",0,267,"5/15/2006"
"1339","2AR07","7",2,"7/1/2007 3:20:00","2AR07 7 2 60BON 2",0,0,2007,7,57.99267,-167.79883,182,107.38119,64,"2AR07_57.99267_-167.79883_7/1/2007 3:20:00_333",0,279,"7/1/2007"
"1340","3MF06","53",3,"5/15/2006 11:54:00","3MF06 53 3 60BON 1",0,0,2006,5,55.7275,-164.74834,135,135.26627,97,"3MF06_55.7275_-164.74834_5/15/2006 11:54:00_505",0,267,"5/15/2006"
"1341","3MF06","56",3,"5/15/2006 18:06:00","3MF06 56 3 60BON 1",0,0,2006,5,55.411,-163.91617,135,127.44311,88,"3MF06_55.411_-163.91617_5/15/2006 18:06:00_505",0,267,"5/15/2006"
"1342","2DY10","61",3,"5/12/2010 4:37:00","2DY10 61 3 60BON 2",0,0,2010,5,56.94233,-163.82983,132,124.21238,71,"2DY10_56.94233_-163.82983_5/12/2010 4:37:00_500",0,240,"5/12/2010"
"1344","2DY10","69",3,"5/14/2010 10:27:00","2DY10 69 3 60BON 2",0,0,2010,5,57.07,-170.49966,134,137.11192,72,"2DY10_57.07_-170.49966_5/14/2010 10:27:00_500",0,240,"5/14/2010"
"1345","2DY10","81",3,"5/15/2010 14:12:00","2DY10 81 3 60BON 2",5.4484,5.04482,2010,5,56.29217,-170.21899,135,198.2233,114,"2DY10_56.29217_-170.21899_5/15/2010 14:12:00_500",1,240,"5/15/2010"
"1346","2DY10","89",3,"5/16/2010 8:18:00","2DY10 89 3 60BON 2",5.92671,1.97557,2010,5,56.087,-169.05234,136,506.18292,1229,"2DY10_56.087_-169.05234_5/16/2010 8:18:00_500",1,240,"5/16/2010"
"1347","2AK10","1",2,"6/30/2010 22:58:00","2AK10 1 2 60BON 1",14.45095,10.86538,2010,6,55.693,-168.24234,181,276.10635,133,"2AK10_55.693_-168.24234_6/30/2010 22:58:00_333",3,240,"6/30/2010"
"1349","3MF02","7",2,"5/13/2002 16:51:00","3MF02 7 2 60BON 1",17.16875,5.68502,2002,5,54.582,-165.64366,133,351.80203,336,"3MF02_54.582_-165.64366_5/13/2002 16:51:00_505",2,150,"5/13/2002"
