Year,Species,SSB,Source
1982,alaska plaice,293156,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1983,alaska plaice,312114,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1984,alaska plaice,328224,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1985,alaska plaice,336915,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1986,alaska plaice,334267,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1987,alaska plaice,321777,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1988,alaska plaice,311661,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1989,alaska plaice,288277,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1990,alaska plaice,286601,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1991,alaska plaice,284096,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1992,alaska plaice,276969,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1993,alaska plaice,268008,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1994,alaska plaice,261909,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1995,alaska plaice,257129,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1996,alaska plaice,251194,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1997,alaska plaice,247943,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1998,alaska plaice,244951,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
1999,alaska plaice,246131,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2000,alaska plaice,248451,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2001,alaska plaice,251654,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2002,alaska plaice,255755,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2003,alaska plaice,255366,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2004,alaska plaice,253135,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2005,alaska plaice,249168,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2006,alaska plaice,242629,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2007,alaska plaice,234261,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2008,alaska plaice,227649,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2009,alaska plaice,225280,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2010,alaska plaice,227957,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2011,alaska plaice,232110,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2012,alaska plaice,234044,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2013,alaska plaice,234526,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2014,alaska plaice,228355,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2015,alaska plaice,221437,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2016,alaska plaice,213914,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2017,alaska plaice,204492,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2018,alaska plaice,192433,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2019,alaska plaice,179279,"NPFMC assessment of the alaska plaice stock in the bering sea and aleutian islands, December 2019"
2020,,,
1976,,,
1977,,,
1978,,,
1979,,,
1980,,,
1981,,,
1982,,,
1983,,,
1984,,,
1985,,,
1986,,,
1987,,,
1988,,,
1989,,,
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,,,
1996,,,
1997,,,
1998,,,
1999,,,
2000,,,
2001,,,
2002,,,
2003,,,
2004,,,
2005,,,
2006,,,
2007,,,
2008,,,
2009,,,
2010,,,
2011,,,
2012,,,
2013,,,
2014,,,
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
